id,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,Potability
L440,8.08,34,14,24.7,43,8.6,118,39,0,438.2,120,34.53,1
L441,7.59,16,7.4,14.7,14,5.8,73,23,0,292.2,67,23.12,1
L442,7.73,26,11,17.7,26,4.2,103,30,0,379.5,91,26.56,1
L443,7.79,32,13,24.4,33,7.1,112,33,0,438.5,114,31.95,1
L444,7.95,20.6,13.8,21.1,12.8,3.1,80.6,52,0,287,109.6,25.66,1
L445,7.62,29.9,14.8,20.3,12.5,3.6,95.4,26,0,292,111.8,26.52,1
L446,7.8,30,15,25,14,3.3,89.8,24.8,0,290,100,26.47,1
L447,7.53,17.1,15.2,22.9,16.7,4.5,87.5,64.7,0,317,119.9,27.77,1
L448,7.47,20.1,16.2,21.9,13.3,4.3,98.8,51.4,0,328,124,28.11,1
L449,7.46,9.7,14.9,22.6,14,7.6,81.9,43,0,354,117.9,29.03,1
L450,7.43,21.6,13.3,26.6,12.9,4.2,64.2,55.5,0,354,107.8,26.25,1
L451,7.32,18.8,13.9,20.9,11.2,4,77.1,45.1,0,315,103.8,25.30,1
L452,7.37,18.8,11,17.1,14,4,65.1,36.3,0,275,103.8,23.52,1
L453,7.55,16.3,12,12.6,16.3,4.4,74.6,26.3,0,279,103.8,23.86,1
L454,7.3,19,15,20,22,5.4,72.03,22.52,0,300.5,112.4,26.31,1
L455,7.59,18,14,20.48,21,5.2,105.44,24.3,0,305.3,108.23,27.68,1
L456,7.6,18,15.33,20.67,22.7,5.4,125.83,58.04,0,328.3,115.45,30.04,1
L457,7.68,19,16.4,21,27.5,7.1,113.31,21.85,0,323.6,120.73,30.74,1
L458,7.49,23,17.67,21.03,23.6,8.3,106.89,28.61,0,325.5,126.07,31.77,1
L459,7.3,15.94,12.86,18.19,20,7.04,77.81,46.79,0,278,98.97,26.92,1
L460,7.29,19.21,14.13,20.21,17.7,5.42,83.05,63.03,0,277,109.29,27.08,1
L461,7.19,17.83,12.53,19,14.7,3.82,91.13,40.35,0,300,99.6,24.97,1
L462,7.31,16.09,13.29,18.25,10.8,3.27,96.8,41,0,294,100.91,24.79,1
L463,7.14,20.05,11.26,14.52,15.4,4.08,103.23,36,0,304,106.42,25.17,1
L464,7.35,22,16.5,19.5,14.9,4.2,113.63,36,0,333.8,117.4,28.05,1
L465,6.88,23,17.5,20.5,18.3,5.4,123.29,20,0,340.8,124.06,29.36,1
L466,6.69,24,18,18.5,17.7,5.6,115.26,45,0,341,121.16,29.21,1
L467,7.74,72.95,19.62,36.24,20,10.29,111.78,33,0,328,172.16,39.58,1
L468,7.95,67.9,18.6,29.2,19.9,11,100.8,30.3,0,333,135.2,37.41,1
L469,7.57,32.66,16.67,22.49,20.9,8.68,110.67,34,0,342.4,125.55,32.83,1
L470,7.71,28.3,17,20,22.4,10,114.57,28,0,363.6,120.73,33.60,1
L471,7.49,22,15.78,22.8,26.7,7.2,110.55,31,0,377.2,122.65,31.24,1
L472,7.29,16.38,13.94,18.82,25.3,7.99,104.68,32,0,333,105.04,29.52,1
L473,6.81,15.3,12.09,17.75,16.7,5.5,59.93,30.3,0,195.3,94.66,23.29,1
L474,6.84,10.93,9.29,11.28,8.52,3.73,79.1,14.48,0,241.6,66.86,20.22,1
L475,7.02,14,11.75,15.25,9.98,4,86,16.03,0,233.3,87.01,22.62,1
L476,6.63,9,8.75,12.75,16.82,4.2,60,0.71,0,165.5,68.27,19.14,1
L477,6.72,9.4,8.82,13.63,4.35,3.63,61.14,36.06,0,199,70.79,19.51,1
L478,6.86,9.44,8.36,13.63,6.7,2.77,60.15,29.78,0,205.1,68.87,18.79,1
L479,7.26,11.34,7.46,11.35,8.39,2.67,70.63,29.81,0,219.6,59.4,19.06,1
L480,7.33,26.94,8.3,15.58,11.11,4.35,70.78,20.65,0,244.3,73.45,22.25,1
L481,7.12,14.15,6.23,13.72,13.21,4.13,71.38,27.88,0,252.7,72.76,20.95,1
L482,7.1,14.39,9.9,19.07,9.68,4.01,79.86,47.31,0,271.4,88.82,23.38,1
L483,7.25,12.84,53.51,27.92,25,5,89.79,46.41,0,296.5,292.61,40.41,1
L484,7.32,10,12.5,17.51,25,8.3,108.38,31.8,0,309.8,185,31.52,1
L485,7.12,12.1,9.92,13.59,25,5.98,94.45,25.77,0,277.9,75.26,24.49,1
L486,7.2,11,13.79,16.53,25,5.2,90.15,20.77,0,279.6,98.71,25.42,1
L487,7.33,15,25.43,21.73,37,6.6,110.28,24.11,0,306.6,160.18,32.87,1
L488,7.58,14.3,17.44,19.89,25,6.6,128.59,30.45,0,322,122.32,30.92,1
L489,7.56,36.06,16.45,27.84,25,7.27,109.19,34.56,0,329,138.02,32.89,1
L490,7.66,21.8,16.24,23.21,25,5.5,104.89,37.33,0,336,125.58,29.91,1
L491,7.41,19.3,17,23.07,19.23,9.2,107.03,39.62,0,348.7,99.2,31.72,1
L492,7.71,20.9,19,26.17,25,8.3,115.11,39.13,0,363.3,90.5,32.48,1
L493,7.54,21,18.7,23.88,25,7.2,110.78,40.24,0,390,137.43,32.54,1
L494,7.57,39.71,24.3,10,25,10.27,108.73,47.97,0,413.5,125.9,34.91,1
L495,7.49,30.32,12.39,18.71,25.31,9.23,118.22,50.8,0,445,144.92,33.75,1
L496,7.62,0,17.01,28.92,25.11,8.95,128.46,61.62,0,493.5,143.03,35.21,1
L497,7.5,36.07,17.03,29.11,75.38,8.69,126.06,89.91,0,487,143.57,38.48,1
L498,7.5,30.58,17.54,24.68,25,7.65,114.61,59.22,0,456,134.66,33.96,1
L499,7.24,28.4,13.73,19.33,25,6.99,122.52,44.03,0,388.6,105.45,30.61,1
L500,7.95,30,15.1,20.5,24.8,7,135.2,50.5,0,400,100,32.33,1
L501,6.88,35.3,11.1,14.7,25,5,67.6,32.6,0,265.2,83,24.00,1
L502,7.01,20.34,13.07,17.55,25,5,132.7,35.56,0,319,98.22,27.90,1
L503,7.17,20.34,14.28,16.93,25,9,118.51,26.7,0,336.7,101.72,30.62,1
L504,7.27,32,14.9,20.3,26.89,12.5,98.62,32.76,0,316.86,109.89,33.83,1
L505,7.23,30.8,17.9,21.51,46.68,11.1,101.49,32.22,0,438.6,128.25,35.29,1
L506,7.09,28.3,16.38,20.4,30.23,12.2,122.06,46.11,0,430,121.02,35.89,1
L507,7.09,30.1,20.47,27.08,34.52,13.1,122,53.55,0,449,152.56,39.53,1
L508,7.09,36.3,15.96,27.63,36.95,15.3,194,52.39,0,453.3,135.44,43.56,1
L509,6.77,18.4,12.54,14.84,10.65,7,89.94,25.68,0,266,89.28,25.57,1
L510,6.25,22,14,17,10,5,124,1.6,0,236,99,25.48,1
L511,6.29,17,11,15,13,5,80,27,0,262.5,82,22.68,1
L512,6.8,13,9,10,6.7,6,69,13,0,273.5,61,21.24,1
L513,6.43,17,11,11,12,5,76,41,0,307.8,86,22.74,1
L514,6.41,19,13,17,16,7,141,3.3,0,271.6,96,27.91,1
L515,6.21,19,14,11,20,8,81,15,0,291,87,25.38,1
L516,6.87,20,12,13,17,15,99,3.6,0,344,95.4,32.28,1
L517,7.26,29,15,18,21,13,100,26,0,350.8,106,33.62,1
L518,7.38,27,12,15.3,22,12,108,40,0,359.5,89,32.19,1
L519,7.25,27,14,19.4,27,15.2,109,35,0,384.2,106,36.11,1
L520,7.06,26,10,13.6,18,11.8,109,23,0,358.3,77,30.37,1
L521,6.85,32,16,21.1,22,11.2,127,41,0,308.7,120,34.30,1
L522,7,18,10,15,5,2.7,96,43,0,291.4,80,22.34,1
L523,6.68,19,11,12.7,6.9,3.5,91,54,0,309.8,77,22.63,1
L524,6.66,14,24,49.7,17,1.6,208,15,0,307,224,37.15,1
L525,7.17,17.3,11,50,21.8,5.9,180.3,18.9,0,2.1,195,35.16,1
L526,6.96,24,12,2,23,6.8,95,31,0,315.3,84,25.00,1
L527,6.99,27,9.9,14.4,26,8.6,71,39,0,306,77,26.53,1
L528,7.18,22.35,16.47,10.09,9.06,0.21,4.34,2.08,2535,4609.1,0,56.48,0
L529,6.51,28.26,34.43,47.2,14.13,0.72,5.41,2.5,5645,10263.6,0,118.28,0
