RSC,PI,KR,Mg,Na,SAR,SSP,EC,IWQI,USABLE
-0.4,42.9,0.1,33.9,5.1,0.2,5.1,633,26.52668651,0
-0.5,43.9,0.1,26.3,6.4,0.2,6.4,622,24.3531746,0
-0.5,45,0,37.5,3.2,0.1,3.2,506,22.71349206,0
-0.5,46.4,0,45.5,2.7,0.1,2.7,428,23.38224206,0
-0.5,44.2,0,31.4,3.8,0.1,3.8,538,21.91646825,0
-0.3,52.5,0.1,38.5,7.6,0.2,7.6,436,28.51388889,0
-0.4,49.4,0.1,31,5.6,0.2,5.6,457,24.31031746,0
-2.2,34.2,0.1,36.8,7,0.3,7,497,6.569642857,0
-0.6,41.2,0.1,37.7,4.4,0.2,4.4,647,25.01269841,0
-0.5,47.8,0,41.5,2.8,0.1,2.8,435,22.80515873,0
-0.6,45.8,0,45.7,4.2,0.1,4.2,487,24.15218254,0
-0.4,38.3,0.1,38.5,5.2,0.2,5.2,833,30.24484127,0
-1.8,36.2,0.1,35.3,4.9,0.2,4.9,723,13.06775794,0
-0.6,40,0,37.5,3.8,0.1,3.8,673,23.94146825,0
0,0.4,1.6,44.3,70.9,21.8,55.4,1480,100.2915675,1
0,0.4,0.5,39.4,68.5,23.6,53.6,2415,105.5332341,1
0,0.4,0.7,54.5,78.9,30.2,34.7,3472,131.6999008,1
0,0.3,1.4,46.8,78.7,21.4,52.6,4772,155.5584325,1
0,0.4,0.5,69.6,70.6,29.1,33,16598,348.7922619,1
0,0.3,0.4,54.2,82.6,18.6,33.7,2020,97.7577381,1
0,0.4,2.6,53.3,63.8,27.2,48.7,3620,146.3978175,1
0,0.4,0.7,54.2,74.5,36,49.9,1593,106.7610119,1
0,0.4,0.5,29.2,82.5,19.9,33.7,1888,91.03045635,1
0,0.3,0.3,56.2,80.9,14.3,44.6,7684,191.0320437,1
0,0.7,1.8,32.6,73.9,63.7,63.7,2036,140.4631944,1
0,0.5,0.7,53.5,69.2,39.9,42.7,7732,208.172619,1
0,0.4,1.5,44.1,82.6,18.5,31.5,2600,113.4644841,1
0,0.3,0.3,55.1,63.9,11.9,23.4,1721,79.09454365,1
0,0.6,1.2,55.4,64.1,37.6,53.7,1610,110.3578373,1
0,0.4,0.5,67.6,84.8,19.3,35.3,1010,86.69920635,1
0,0.4,0.7,55.9,87.6,30.3,40.5,1928,110.5547619,1
0,0.3,0.4,55.5,70.9,19,29.8,6081,161.4125992,1
0,0.4,0.5,61,81,18.1,32.8,1774,95.13670635,1
0,0.3,0.4,62.7,74.4,16.1,27.1,2802,106.9674603,1
0,0.3,0.4,57.9,68.6,14.5,27.2,8096,191.1021825,1
0,0.5,0.8,45.8,66,32.1,44.1,1860,103.147619,1
0,0.4,0.5,76.7,83.7,22.4,35.4,1860,104.9749008,1
0,0.2,0.2,72.5,78.3,13.9,19.2,10074,226.6489087,1
0,0.6,1.1,81.8,86.6,46.5,52.4,2920,150.8446429,1
0,0.6,1.1,83.2,85.5,40.2,53.4,2260,135.7258929,1
0,0.4,0.4,60.6,67.6,16.1,29.6,3150,110.7603175,1
0,0.5,0.7,43.7,50.8,30.5,41.4,3040,114.9198413,1
0,0.5,2.8,76,80.2,31.7,42.2,3330,155.5490079,1
0,0.2,1,68.1,76.6,10.8,19.7,1717,90.37321429,1
0,0.2,1.1,63,80.8,12.5,18.5,6209,166.9912698,1
0,0.4,2.3,62,75,31.9,40.1,9907,255.4700397,1
0,0.6,3.3,71.9,79.6,48.5,55.7,1560,144.0626984,1
0,0.3,1,82.3,89.4,17.9,45.3,1230,101.1549603,1
0,0.3,1.7,79.8,80.7,13,36.6,1120,96.23343254,1
0,0.3,1.1,67.1,72.8,16.7,60.4,1192,95.30912698,1
0,0.4,1.2,50.4,71.2,17.3,73.9,1192,95.27698413,1
0,0.2,1.2,73.8,75.7,8.3,50.9,1090,88.79751984,1
0,0.3,0.9,83.2,84.9,22.8,52.8,1240,104.5848214,1
0,0.4,1,74.5,74.5,22.6,69.9,1190,103.3137897,1
0,0.5,1,82.2,82.5,23.6,76.6,1165,109.7094246,1
0,0.3,2,57.3,67.6,14.7,49.1,1165,94.0702381,1
0,0.3,1.6,35.8,74.5,15.1,63,1193,91.73759921,1
0,0.4,0.9,23.6,81,24.1,40.6,1260,86.67003968,1
0,0.4,0.7,64.6,72.4,24.8,32,1000,86.56865079,1
0,0.4,0.7,41.8,77.5,14.1,39.7,960,76.29017857,1
0,0.5,1.2,64.7,74.5,24.8,52.3,1145,98.92609127,1
0,0.4,1.6,62.6,81,18.4,46.5,1410,102.2700397,1
0,0.3,1.5,64.9,72.4,8.8,59.5,1378,95.35634921,1
0,0.3,1.1,67.2,79.5,15.2,42.1,1164,91.34454365,1
0,0.5,0.8,65.5,67.3,38.8,28.4,1380,101.2066468,1
0,0.4,1.6,52.8,73.9,19.1,23.2,1560,94.76240079,1
0,0.6,1.5,59.2,57.9,48.4,26.3,1263,106.737004,1
0,0.8,0.8,59,62.2,61.4,31.7,1020,108.5609127,1
0,0.6,0,41.1,74.9,22.9,14.8,1090,71.5578373,1
0,0.6,0.1,26.6,62.8,33.7,31.4,767,71.2515873,1
0,0.8,0.3,43.7,57.7,31,34.5,698,73.38521825,1
0,0.8,0.3,38,59.8,51.4,40.9,1000,93.41646825,1
0,0.6,1,29.6,62.7,15.4,44.4,929,72.71200397,1
0,0.8,0.7,30.8,61,24.5,25.5,1321,78.14424603,1
0,0.5,0.7,41.7,62.4,16.5,35.5,1190,76.01428571,1
0,0.4,0.5,24.2,74,10.6,38.6,800,63.75753968,1
0,0.5,0.7,59.7,62.4,16.9,32,1321,82.10039683,1
0,0.7,0.1,38.7,50.7,16.7,43.3,1170,68.39930556,1
0,0.6,0.9,31,63.2,14.4,36.3,1020,71.18214286,1
0,0.7,0.5,17.5,69.7,23.5,17.7,1170,70.69236111,1
0,0.6,0.7,16.9,52.7,11.4,27.7,900,56.47589286,1
0,0.5,0.5,27.1,56.9,9.2,32.6,1200,63.35109127,1
0,0.4,0.3,23.2,58.4,5,22.3,1420,59.33531746,1
0,0.5,0.7,20.8,51.2,13,40.5,660,57.27539683,1
0,0.5,0.6,28.1,36.4,13,38.2,513,50.61706349,1
0,0.7,0.6,23,32.1,22.1,61,435,58.75347222,1
0,0.6,0.9,22,70.9,17.8,48.7,520,68.46617063,1
0,0.5,0.7,31.9,48.6,16.2,42.3,980,67.24345238,1
0,0.6,0.2,22.3,35.1,21.2,24.4,852,53.33978175,1
0,0.4,0.5,40.8,37.3,10.2,32.4,1010,58.1110119,1
0,0.4,0.5,27.1,47.4,10.1,32.1,496,49.13115079,0
0,0.6,0.9,30.4,33,18.2,28.2,570,54.70853175,1
